"District Number","District Name","School Number",School Name," State and Local Funds "," Federal Funds "," State, Local and Federal Funds "," State and Local Funds "," Federal
Funds "," State, Local and Federal Funds "," Total Costs - State, Local and Federal Funds Per Pupil "
12,Columbia,0291,PINEMOUNT ELEMENTARY SCHOOL                                                                         ,"  6,633 ",  416 ,"  7,049 ",  577 ,  291 ,  868 ,"  7,917 "
12,Columbia,0031,RICHARDSON SIXTH GRADE ACADEMY                                                                      ,"  7,269 ","  1,657 ","  8,926 ",  614 ,  269 ,  883 ,"  9,809 "
12,Columbia,0241,LAKE CITY MIDDLE SCHOOL                                                                             ,"  5,347 ",  401 ,"  5,748 ",  486 ,  204 ,  690 ,"  6,438 "
12,Columbia,0011,COLUMBIA HIGH SCHOOL                                                                                ,"  5,359 ",  221 ,"  5,580 ",  511 ,  79 ,  590 ,"  6,170 "
12,Columbia,0123,FORT WHITE HIGH SCHOOL                                                                              ,"  7,024 ",  284 ,"  7,308 ",  621 ,  92 ,  713 ,"  8,021 "
12,Columbia,0221,PATHWAYS ACADEMY                                                                                    ,"  22,699 ",  907 ,"  23,606 ","  1,595 ",  710 ,"  2,305 ","  25,911 "
12,Columbia,0402,BELMONT ACADEMY                                                                                     ,"  6,574 ",  -   ,"  6,574 ",  -   ,  -   ,  -   ,"  6,574 "
13,Dade,0081,LENORA BRAYNON SMITH ELEMENTARY                                                                     ,"  7,988 ","  1,422 ","  9,410 ",  305 ,  62 ,  367 ,"  9,777 "
13,Dade,0101,ARCOLA LAKE ELEMENTARY SCHOOL                                                                       ,"  11,015 ","  1,550 ","  12,565 ",  403 ,  78 ,  481 ,"  13,046 "
13,Dade,0111,MAYA ANGELOU ELEMENTARY SCHOOL                                                                      ,"  7,472 ",  808 ,"  8,280 ",  308 ,  58 ,  366 ,"  8,646 "
13,Dade,0121,AUBURNDALE ELEMENTARY SCHOOL                                                                        ,"  9,151 ",  910 ,"  10,061 ",  356 ,  63 ,  419 ,"  10,480 "
13,Dade,0125,NORMA BUTLER BOSSARD ELEMENTARY SCHOOL                                                              ,"  7,039 ",  414 ,"  7,453 ",  317 ,  63 ,  380 ,"  7,833 "
13,Dade,0161,AVOCADO ELEMENTARY SCHOOL                                                                           ,"  11,400 ","  1,190 ","  12,590 ",  447 ,  79 ,  526 ,"  13,116 "
13,Dade,0201,BANYAN ELEMENTARY SCHOOL                                                                            ,"  10,644 ",  668 ,"  11,312 ",  340 ,  63 ,  403 ,"  11,715 "
13,Dade,0211,DR. MANUEL C. BARREIRO ELEMENTARY SCHOOL                                                            ,"  7,929 ",  425 ,"  8,354 ",  305 ,  60 ,  365 ,"  8,719 "
13,Dade,0251,ETHEL KOGER BECKHAM ELEMENTARY                                                                      ,"  7,914 ",  731 ,"  8,645 ",  315 ,  59 ,  374 ,"  9,019 "
13,Dade,0261,BEL-AIRE ELEMENTARY SCHOOL                                                                          ,"  10,059 ","  1,298 ","  11,357 ",  332 ,  72 ,  404 ,"  11,761 "
13,Dade,0271,BENT TREE ELEMENTARY SCHOOL                                                                         ,"  11,470 ",  934 ,"  12,404 ",  427 ,  73 ,  500 ,"  12,904 "
13,Dade,0311,GOULDS ELEMENTARY SCHOOL                                                                            ,"  9,142 ",  722 ,"  9,864 ",  316 ,  61 ,  377 ,"  10,241 "
13,Dade,0321,BISCAYNE ELEMENTARY SCHOOL                                                                          ,"  7,722 ",  819 ,"  8,541 ",  324 ,  62 ,  386 ,"  8,927 "
13,Dade,0341,ARCHCREEK ELEMENTARY SCHOOL                                                                         ,"  7,341 ",  639 ,"  7,980 ",  271 ,  55 ,  326 ,"  8,306 "
13,Dade,0361,BISCAYNE GARDENS ELEMENTARY                                                                         ,"  9,189 ","  1,545 ","  10,734 ",  353 ,  71 ,  424 ,"  11,158 "
13,Dade,0401,VAN E. BLANTON ELEMENTARY SCHOOL                                                                    ,"  7,751 ",  941 ,"  8,692 ",  320 ,  70 ,  390 ,"  9,082 "
13,Dade,0441,BLUE LAKES ELEMENTARY SCHOOL                                                                        ,"  14,425 ","  1,700 ","  16,125 ",  531 ,  92 ,  623 ,"  16,748 "
13,Dade,0461,BRENTWOOD ELEMENTARY SCHOOL                                                                         ,"  8,357 ",  950 ,"  9,307 ",  368 ,  73 ,  441 ,"  9,748 "
13,Dade,0481,JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY                                                  ,"  10,311 ","  1,111 ","  11,422 ",  387 ,  68 ,  455 ,"  11,877 "
13,Dade,0521,BROADMOOR ELEMENTARY SCHOOL                                                                         ,"  7,953 ",  795 ,"  8,748 ",  331 ,  65 ,  396 ,"  9,144 "
13,Dade,0561,W. J. BRYAN ELEMENTARY                                                                              ,"  7,060 ",  868 ,"  7,928 ",  301 ,  61 ,  362 ,"  8,290 "
13,Dade,0641,BUNCHE PARK ELEMENTARY SCHOOL                                                                       ,"  11,345 ","  1,592 ","  12,937 ",  383 ,  74 ,  457 ,"  13,394 "
13,Dade,0671,CALUSA ELEMENTARY SCHOOL                                                                            ,"  7,515 ",  428 ,"  7,943 ",  297 ,  58 ,  355 ,"  8,298 "
13,Dade,0681,CAROL CITY ELEMENTARY SCHOOL                                                                        ,"  9,538 ","  1,114 ","  10,652 ",  315 ,  69 ,  384 ,"  11,036 "
13,Dade,0721,GEORGE W. CARVER ELEMENTARY SCHOOL                                                                  ,"  8,943 ",  280 ,"  9,223 ",  331 ,  70 ,  401 ,"  9,624 "
13,Dade,0771,DR. WILLIAM A. CHAPMAN ELEMENTARY SCHOOL                                                            ,"  9,538 ","  1,810 ","  11,348 ",  483 ,  95 ,  578 ,"  11,926 "
13,Dade,0801,CITRUS GROVE ELEMENTARY SCHOOL                                                                      ,"  9,307 ","  1,574 ","  10,881 ",  407 ,  73 ,  480 ,"  11,361 "
13,Dade,0831,CLAUDE PEPPER ELEMENTARY SCHOOL                                                                     ,"  9,370 ",  544 ,"  9,914 ",  341 ,  63 ,  404 ,"  10,318 "
13,Dade,0841,COCONUT GROVE ELEMENTARY SCHOOL                                                                     ,"  9,533 ",  564 ,"  10,097 ",  374 ,  74 ,  448 ,"  10,545 "
13,Dade,0861,COLONIAL DRIVE ELEMENTARY SCHOOL                                                                    ,"  10,501 ","  1,701 ","  12,202 ",  372 ,  75 ,  447 ,"  12,649 "
13,Dade,0881,COMSTOCK ELEMENTARY SCHOOL                                                                          ,"  8,814 ",  963 ,"  9,777 ",  356 ,  67 ,  423 ,"  10,200 "
13,Dade,1001,CORAL PARK ELEMENTARY SCHOOL                                                                        ,"  8,123 ",  746 ,"  8,869 ",  326 ,  63 ,  389 ,"  9,258 "
13,Dade,1041,CORAL REEF ELEMENTARY SCHOOL                                                                        ,"  7,995 ",  551 ,"  8,546 ",  318 ,  62 ,  380 ,"  8,926 "
13,Dade,1081,CORAL TERRACE ELEMENTARY SCHOOL                                                                     ,"  8,532 ",  990 ,"  9,522 ",  312 ,  62 ,  374 ,"  9,896 "
13,Dade,1161,CRESTVIEW ELEMENTARY SCHOOL                                                                         ,"  9,969 ","  1,562 ","  11,531 ",  354 ,  75 ,  429 ,"  11,960 "
13,Dade,1241,CUTLER RIDGE ELEMENTARY SCHOOL                                                                      ,"  9,055 ",  486 ,"  9,541 ",  343 ,  70 ,  413 ,"  9,954 "
13,Dade,1371,MARJORY STONEMAN DOUGLAS ELEM                                                                       ,"  8,710 ",  680 ,"  9,390 ",  310 ,  64 ,  374 ,"  9,764 "
13,Dade,1401,CHARLES R DREW K-8 CENTER                                                                           ,"  7,531 ",  847 ,"  8,378 ",  293 ,  62 ,  355 ,"  8,733 "
13,Dade,1441,PAUL LAURENCE DUNBAR K-8 CENTER                                                                     ,"  9,528 ","  1,879 ","  11,407 ",  326 ,  67 ,  393 ,"  11,800 "
13,Dade,1481,JOHN G. DUPUIS ELEMENTARY SCHOOL                                                                    ,"  9,294 ",  982 ,"  10,276 ",  345 ,  64 ,  409 ,"  10,685 "
13,Dade,1521,AMELIA EARHART ELEMENTARY SCHOOL                                                                    ,"  10,112 ","  1,405 ","  11,517 ",  366 ,  69 ,  435 ,"  11,952 "
13,Dade,1561,EARLINGTON HEIGHTS ELEMENTARY SCHOOL                                                                ,"  8,419 ","  1,888 ","  10,307 ",  407 ,  91 ,  498 ,"  10,805 "
13,Dade,1641,EMERSON ELEMENTARY SCHOOL                                                                           ,"  9,004 ",  601 ,"  9,605 ",  336 ,  70 ,  406 ,"  10,011 "
13,Dade,1691,CHRISTINA M. EVE ELEMENTARY SCHOOL                                                                  ,"  7,699 ",  411 ,"  8,110 ",  309 ,  58 ,  367 ,"  8,477 "
13,Dade,1761,DAVID FAIRCHILD ELEMENTARY SCHOOL                                                                   ,"  8,037 ",  703 ,"  8,740 ",  304 ,  60 ,  364 ,"  9,104 "
13,Dade,1801,FAIRLAWN ELEMENTARY SCHOOL                                                                          ,"  7,739 ",  708 ,"  8,447 ",  290 ,  55 ,  345 ,"  8,792 "
13,Dade,1811,DANTE B. FASCELL ELEMENTARY SCHOOL                                                                  ,"  9,793 ",  869 ,"  10,662 ",  366 ,  66 ,  432 ,"  11,094 "
13,Dade,1841,FLAGAMI ELEMENTARY SCHOOL                                                                           ,"  9,473 ",  682 ,"  10,155 ",  338 ,  66 ,  404 ,"  10,559 "
13,Dade,1881,HENRY M. FLAGLER ELEMENTARY SCHOOL                                                                  ,"  7,377 ",  746 ,"  8,123 ",  305 ,  59 ,  364 ,"  8,487 "
13,Dade,1921,FLAMINGO ELEMENTARY SCHOOL                                                                          ,"  7,314 ",  537 ,"  7,851 ",  296 ,  55 ,  351 ,"  8,202 "
13,Dade,2021,GLORIA FLOYD ELEMENTARY SCHOOL                                                                      ,"  10,025 ",  685 ,"  10,710 ",  404 ,  73 ,  477 ,"  11,187 "
13,Dade,2081,FULFORD ELEMENTARY SCHOOL                                                                           ,"  6,682 ",  668 ,"  7,350 ",  277 ,  58 ,  335 ,"  7,685 "
13,Dade,2111,HIALEAH GARDENS ELEMENTARY SCHOOL                                                                   ,"  9,702 ","  1,052 ","  10,754 ",  401 ,  76 ,  477 ,"  11,231 "
13,Dade,2151,JACK DAVID GORDON ELEMENTARY SCHOOL                                                                 ,"  8,556 ",  649 ,"  9,205 ",  319 ,  60 ,  379 ,"  9,584 "
13,Dade,2161,GOLDEN GLADES ELEMENTARY SCHOOL                                                                     ,"  12,064 ","  3,651 ","  15,715 ",  531 ,  113 ,  644 ,"  16,359 "
13,Dade,2181,JOELLA GOOD ELEMENTARY SCHOOL                                                                       ,"  7,179 ",  676 ,"  7,855 ",  305 ,  64 ,  369 ,"  8,224 "
13,Dade,2191,SPANISH LAKE ELEMENTARY SCHOOL                                                                      ,"  7,041 ",  563 ,"  7,604 ",  308 ,  63 ,  371 ,"  7,975 "
13,Dade,2241,GRATIGNY ELEMENTARY SCHOOL                                                                          ,"  10,305 ","  1,235 ","  11,540 ",  375 ,  71 ,  446 ,"  11,986 "
13,Dade,2261,GREENGLADE ELEMENTARY SCHOOL                                                                        ,"  8,362 ",  621 ,"  8,983 ",  313 ,  60 ,  373 ,"  9,356 "
13,Dade,2281,GREYNOLDS PARK ELEMENTARY SCHOOL                                                                    ,"  8,187 ",  894 ,"  9,081 ",  317 ,  61 ,  378 ,"  9,459 "
13,Dade,2321,GULFSTREAM ELEMENTARY SCHOOL                                                                        ,"  12,876 ","  1,419 ","  14,295 ",  493 ,  82 ,  575 ,"  14,870 "
13,Dade,2331,CHARLES R HADLEY ELEMENTARY SCHOOL                                                                  ,"  7,880 ",  666 ,"  8,546 ",  320 ,  60 ,  380 ,"  8,926 "
13,Dade,2341,JOE HALL ELEMENTARY SCHOOL                                                                          ,"  10,751 ","  1,146 ","  11,897 ",  412 ,  72 ,  484 ,"  12,381 "
13,Dade,2351,ENEIDA M. HARTNER ELEMENTARY SCHOOL                                                                 ,"  8,401 ","  1,010 ","  9,411 ",  333 ,  63 ,  396 ,"  9,807 "
13,Dade,2361,HIALEAH ELEMENTARY SCHOOL                                                                           ,"  7,618 ",  846 ,"  8,464 ",  294 ,  57 ,  351 ,"  8,815 "
13,Dade,2371,WEST HIALEAH GARDENS ELEMENTARY SCHOOL                                                              ,"  8,063 ",  950 ,"  9,013 ",  344 ,  65 ,  409 ,"  9,422 "
13,Dade,2401,HIBISCUS ELEMENTARY SCHOOL                                                                          ,"  7,950 ",  780 ,"  8,730 ",  320 ,  67 ,  387 ,"  9,117 "
13,Dade,2441,VIRGINIA A BOONE-HIGHLAND OAKS SCHOOL                                                               ,"  8,753 ",  586 ,"  9,339 ",  328 ,  62 ,  390 ,"  9,729 "
13,Dade,2501,HOLMES ELEMENTARY SCHOOL                                                                            ,"  7,457 ",  943 ,"  8,400 ",  282 ,  61 ,  343 ,"  8,743 "
13,Dade,2511,ZORA NEALE HURSTON ELEMENTARY SCHOOL                                                                ,"  9,747 ",  790 ,"  10,537 ",  366 ,  64 ,  430 ,"  10,967 "
13,Dade,2521,OLIVER HOOVER ELEMENTARY SCHOOL                                                                     ,"  8,862 ",  641 ,"  9,503 ",  336 ,  58 ,  394 ,"  9,897 "
13,Dade,2541,HOWARD DRIVE ELEMENTARY SCHOOL                                                                      ,"  8,334 ",  780 ,"  9,114 ",  300 ,  56 ,  356 ,"  9,470 "
13,Dade,2641,KENDALE ELEMENTARY SCHOOL                                                                           ,"  9,296 ",  482 ,"  9,778 ",  323 ,  59 ,  382 ,"  10,160 "
13,Dade,2651,KENDALE LAKES ELEMENTARY SCHOOL                                                                     ,"  8,776 ",  840 ,"  9,616 ",  333 ,  63 ,  396 ,"  10,012 "
13,Dade,2661,KENSINGTON PARK ELEMENTARY SCHOOL                                                                   ,"  9,233 ","  1,265 ","  10,498 ",  384 ,  68 ,  452 ,"  10,950 "
13,Dade,2781,KINLOCH PARK ELEMENTARY SCHOOL                                                                      ,"  8,294 ",  761 ,"  9,055 ",  334 ,  61 ,  395 ,"  9,450 "
13,Dade,2801,LAKE STEVENS ELEMENTARY SCHOOL                                                                      ,"  9,906 ","  1,426 ","  11,332 ",  333 ,  65 ,  398 ,"  11,730 "
13,Dade,2821,LAKEVIEW ELEMENTARY SCHOOL                                                                          ,"  9,477 ",  996 ,"  10,473 ",  342 ,  67 ,  409 ,"  10,882 "
13,Dade,2891,WILLIAM H. LEHMAN ELEMENTARY SCHOOL                                                                 ,"  8,555 ",  460 ,"  9,015 ",  318 ,  59 ,  377 ,"  9,392 "
13,Dade,2941,LAURA C. SAUNDERS ELEMENTARY SCHOOL                                                                 ,"  9,316 ","  1,403 ","  10,719 ",  376 ,  75 ,  451 ,"  11,170 "
13,Dade,2981,LIBERTY CITY ELEMENTARY SCHOOL                                                                      ,"  12,800 ","  3,218 ","  16,018 ",  538 ,  119 ,  657 ,"  16,675 "
13,Dade,3021,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL                                                             ","  7,469 ",  820 ,"  8,289 ",  294 ,  61 ,  355 ,"  8,644 "
13,Dade,3051,TOUSSAINT L'OUVERTURE ELEMENTARY                                                                    ,"  8,676 ","  1,719 ","  10,395 ",  342 ,  66 ,  408 ,"  10,803 "
13,Dade,3061,LUDLAM ELEMENTARY SCHOOL                                                                            ,"  9,645 ",  525 ,"  10,170 ",  327 ,  64 ,  391 ,"  10,561 "
13,Dade,3111,WESLEY MATTHEWS ELEMENTARY SCHOOL                                                                   ,"  9,174 ",  733 ,"  9,907 ",  344 ,  62 ,  406 ,"  10,313 "
13,Dade,3141,MEADOWLANE ELEMENTARY SCHOOL                                                                        ,"  7,620 ",  733 ,"  8,353 ",  302 ,  59 ,  361 ,"  8,714 "
13,Dade,3181,MELROSE ELEMENTARY SCHOOL                                                                           ,"  9,058 ","  1,537 ","  10,595 ",  352 ,  69 ,  421 ,"  11,016 "
13,Dade,3241,MIAMI GARDENS ELEMENTARY SCHOOL                                                                     ,"  9,221 ","  1,735 ","  10,956 ",  458 ,  88 ,  546 ,"  11,502 "
13,Dade,3261,MIAMI HEIGHTS ELEMENTARY SCHOOL                                                                     ,"  7,945 ",  775 ,"  8,720 ",  315 ,  61 ,  376 ,"  9,096 "
13,Dade,3301,MIAMI PARK ELEMENTARY SCHOOL                                                                        ,"  9,411 ","  1,204 ","  10,615 ",  282 ,  60 ,  342 ,"  10,957 "
13,Dade,3341,MIAMI SHORES ELEMENTARY SCHOOL                                                                      ,"  7,200 ",  707 ,"  7,907 ",  284 ,  59 ,  343 ,"  8,250 "
13,Dade,3381,MIAMI SPRINGS ELEMENTARY SCHOOL                                                                     ,"  11,083 ",  770 ,"  11,853 ",  377 ,  70 ,  447 ,"  12,300 "
13,Dade,3431,PHYLLIS R. MILLER ELEMENTARY SCHOOL                                                                 ,"  8,085 ",  754 ,"  8,839 ",  321 ,  67 ,  388 ,"  9,227 "
13,Dade,3541,ROBERT RUSSA MOTON ELEMENTARY SCHOOL                                                                ,"  11,907 ","  1,555 ","  13,462 ",  415 ,  84 ,  499 ,"  13,961 "
13,Dade,3581,MYRTLE GROVE K-8 CENTER                                                                             ,"  8,536 ",  808 ,"  9,344 ",  344 ,  74 ,  418 ,"  9,762 "
13,Dade,3661,NATURAL BRIDGE ELEMENTARY SCHOOL                                                                    ,"  9,401 ",  981 ,"  10,382 ",  354 ,  69 ,  423 ,"  10,805 "
13,Dade,3701,NORLAND ELEMENTARY SCHOOL                                                                           ,"  7,376 ",  786 ,"  8,162 ",  302 ,  64 ,  366 ,"  8,528 "
13,Dade,3741,NORTH BEACH ELEMENTARY SCHOOL                                                                       ,"  7,583 ",  618 ,"  8,201 ",  333 ,  60 ,  393 ,"  8,594 "
13,Dade,3781,BARBARA HAWKINS ELEMENTARY SCHOOL                                                                   ,"  9,045 ",  945 ,"  9,990 ",  311 ,  70 ,  381 ,"  10,371 "
13,Dade,3861,NORTH GLADE ELEMENTARY SCHOOL                                                                       ,"  11,197 ","  1,518 ","  12,715 ",  412 ,  81 ,  493 ,"  13,208 "
13,Dade,3901,NORTH HIALEAH ELEMENTARY SCHOOL                                                                     ,"  7,817 ",  886 ,"  8,703 ",  315 ,  58 ,  373 ,"  9,076 "
13,Dade,3941,NORTH MIAMI ELEMENTARY SCHOOL                                                                       ,"  8,204 ",  793 ,"  8,997 ",  303 ,  60 ,  363 ,"  9,360 "
13,Dade,3981,NORTH TWIN LAKES ELEMENTARY SCHOOL                                                                  ,"  8,749 ",  693 ,"  9,442 ",  335 ,  60 ,  395 ,"  9,837 "
13,Dade,4001,NORWOOD ELEMENTARY SCHOOL                                                                           ,"  10,569 ",  919 ,"  11,488 ",  407 ,  74 ,  481 ,"  11,969 "
13,Dade,4021,OAK GROVE ELEMENTARY SCHOOL                                                                         ,"  7,757 ",  678 ,"  8,435 ",  296 ,  56 ,  352 ,"  8,787 "
13,Dade,4061,OJUS ELEMENTARY SCHOOL                                                                              ,"  7,197 ",  418 ,"  7,615 ",  284 ,  59 ,  343 ,"  7,958 "
13,Dade,4091,OLYMPIA HEIGHTS ELEMENTARY SCHOOL                                                                   ,"  9,535 ","  1,102 ","  10,637 ",  374 ,  69 ,  443 ,"  11,080 "
13,Dade,4121,DR. ROBERT B. INGRAM/OPA-LOCKA ELEMENTARY SCHOOL                                                    ,"  8,203 ","  1,215 ","  9,418 ",  286 ,  63 ,  349 ,"  9,767 "
13,Dade,4171,ORCHARD VILLA ELEMENTARY SCHOOL                                                                     ,"  8,710 ","  1,322 ","  10,032 ",  333 ,  66 ,  399 ,"  10,431 "
13,Dade,4221,PALMETTO ELEMENTARY SCHOOL                                                                          ,"  8,292 ",  573 ,"  8,865 ",  326 ,  58 ,  384 ,"  9,249 "
13,Dade,4241,PALM LAKES ELEMENTARY SCHOOL                                                                        ,"  8,591 ",  679 ,"  9,270 ",  318 ,  60 ,  378 ,"  9,648 "
13,Dade,4261,PALM SPRINGS ELEMENTARY SCHOOL                                                                      ,"  8,186 ",  751 ,"  8,937 ",  321 ,  60 ,  381 ,"  9,318 "
13,Dade,4281,PALM SPRINGS NORTH ELEMENTARY SCHOOL                                                                ,"  7,064 ",  438 ,"  7,502 ",  323 ,  63 ,  386 ,"  7,888 "
13,Dade,4301,PARKVIEW ELEMENTARY SCHOOL                                                                          ,"  9,717 ","  1,393 ","  11,110 ",  323 ,  73 ,  396 ,"  11,506 "
13,Dade,4341,PARKWAY ELEMENTARY SCHOOL                                                                           ,"  8,499 ","  1,354 ","  9,853 ",  314 ,  70 ,  384 ,"  10,237 "
13,Dade,4381,DR. HENRY E. PERRINE ACADEMY OF THE ARTS                                                            ,"  8,128 ",  466 ,"  8,594 ",  341 ,  68 ,  409 ,"  9,003 "
13,Dade,4401,KELSEY L. PHARR ELEMENTARY SCHOOL                                                                   ,"  8,285 ","  1,084 ","  9,369 ",  303 ,  72 ,  375 ,"  9,744 "
13,Dade,4421,PINECREST ELEMENTARY SCHOOL                                                                         ,"  7,922 ",  472 ,"  8,394 ",  311 ,  57 ,  368 ,"  8,762 "
13,Dade,4441,PINE LAKE ELEMENTARY SCHOOL                                                                         ,"  11,407 ","  1,318 ","  12,725 ",  357 ,  70 ,  427 ,"  13,152 "
13,Dade,4461,PINE VILLA ELEMENTARY SCHOOL                                                                        ,"  12,231 ","  2,346 ","  14,577 ",  349 ,  77 ,  426 ,"  15,003 "
13,Dade,4491,HENRY E.S. REEVES ELEMENTARY SCHOOL                                                                 ,"  7,578 ","  1,010 ","  8,588 ",  307 ,  63 ,  370 ,"  8,958 "
13,Dade,4501,POINCIANA PARK ELEMENTARY SCHOOL                                                                    ,"  12,340 ","  2,375 ","  14,715 ",  422 ,  77 ,  499 ,"  15,214 "
13,Dade,4541,RAINBOW PARK ELEMENTARY SCHOOL                                                                      ,"  9,585 ","  1,210 ","  10,795 ",  319 ,  68 ,  387 ,"  11,182 "
13,Dade,4581,REDLAND ELEMENTARY SCHOOL                                                                           ,"  7,726 ",  848 ,"  8,574 ",  357 ,  68 ,  425 ,"  8,999 "
13,Dade,4611,REDONDO ELEMENTARY SCHOOL                                                                           ,"  8,817 ",  773 ,"  9,590 ",  355 ,  65 ,  420 ,"  10,010 "
13,Dade,4721,ROCKWAY ELEMENTARY SCHOOL                                                                           ,"  8,796 ",  619 ,"  9,415 ",  321 ,  58 ,  379 ,"  9,794 "
13,Dade,4741,ROYAL GREEN ELEMENTARY SCHOOL                                                                       ,"  9,836 ",  795 ,"  10,631 ",  350 ,  64 ,  414 ,"  11,045 "
13,Dade,4761,ROYAL PALM ELEMENTARY SCHOOL                                                                        ,"  8,575 ",  880 ,"  9,455 ",  325 ,  62 ,  387 ,"  9,842 "
13,Dade,4801,GERTRUDE K. EDELMAN/SABAL PALM                                                                      ,"  7,935 ","  1,162 ","  9,097 ",  315 ,  65 ,  380 ,"  9,477 "
13,Dade,4841,SANTA CLARA ELEMENTARY SCHOOL                                                                       ,"  8,279 ",  787 ,"  9,066 ",  321 ,  61 ,  382 ,"  9,448 "
13,Dade,4881,SCOTT LAKE ELEMENTARY SCHOOL                                                                        ,"  8,537 ","  1,320 ","  9,857 ",  323 ,  68 ,  391 ,"  10,248 "
13,Dade,4921,SEMINOLE ELEMENTARY SCHOOL                                                                          ,"  7,889 ",  505 ,"  8,394 ",  326 ,  64 ,  390 ,"  8,784 "
13,Dade,4961,SHADOWLAWN ELEMENTARY SCHOOL                                                                        ,"  11,140 ","  2,440 ","  13,580 ",  346 ,  75 ,  421 ,"  14,001 "
13,Dade,5001,SHENANDOAH ELEMENTARY SCHOOL                                                                        ,"  7,249 ",  643 ,"  7,892 ",  325 ,  60 ,  385 ,"  8,277 "
13,Dade,5021,BEN SHEPPARD ELEMENTARY SCHOOL                                                                      ,"  8,176 ",  963 ,"  9,139 ",  339 ,  61 ,  400 ,"  9,539 "
13,Dade,5041,SILVER BLUFF ELEMENTARY SCHOOL                                                                      ,"  8,807 ",  839 ,"  9,646 ",  317 ,  61 ,  378 ,"  10,024 "
13,Dade,5061,DR. CARLOS J. FINLAY ELEMENTARY                                                                     ,"  9,604 ",  611 ,"  10,215 ",  357 ,  67 ,  424 ,"  10,639 "
13,Dade,5081,DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL                                                    ,"  11,156 ","  1,757 ","  12,913 ",  378 ,  76 ,  454 ,"  13,367 "
13,Dade,5091,SOUTH POINTE ELEMENTARY SCHOOL                                                                      ,"  7,493 ",  251 ,"  7,744 ",  291 ,  60 ,  351 ,"  8,095 "
13,Dade,5121,SNAPPER CREEK ELEMENTARY SCHOOL                                                                     ,"  11,117 ",  746 ,"  11,863 ",  424 ,  78 ,  502 ,"  12,365 "
13,Dade,5131,N DADE CENTER FOR MODERN LANGUAGE                                                                   ,"  8,989 ",  527 ,"  9,516 ",  322 ,  67 ,  389 ,"  9,905 "
13,Dade,5201,SOUTH HIALEAH ELEMENTARY SCHOOL                                                                     ,"  7,591 ",  891 ,"  8,482 ",  307 ,  61 ,  368 ,"  8,850 "
13,Dade,5281,SOUTH MIAMI HEIGHTS ELEMENTARY                                                                      ,"  8,247 ",  731 ,"  8,978 ",  326 ,  63 ,  389 ,"  9,367 "
13,Dade,5321,SOUTHSIDE ELEMENTARY SCHOOL                                                                         ,"  7,395 ",  340 ,"  7,735 ",  297 ,  60 ,  357 ,"  8,092 "
13,Dade,5361,SPRINGVIEW ELEMENTARY SCHOOL                                                                        ,"  9,779 ",  451 ,"  10,230 ",  321 ,  65 ,  386 ,"  10,616 "
13,Dade,5381,E.W.F. STIRRUP ELEMENTARY SCHOOL                                                                    ,"  7,856 ",  644 ,"  8,500 ",  321 ,  60 ,  381 ,"  8,881 "
13,Dade,5401,SUNSET ELEMENTARY SCHOOL                                                                            ,"  8,047 ",  283 ,"  8,330 ",  339 ,  68 ,  407 ,"  8,737 "
13,Dade,5421,SUNSET PARK ELEMENTARY SCHOOL                                                                       ,"  7,937 ",  737 ,"  8,674 ",  356 ,  64 ,  420 ,"  9,094 "
13,Dade,5431,SWEETWATER ELEMENTARY SCHOOL                                                                        ,"  8,159 ",  757 ,"  8,916 ",  306 ,  56 ,  362 ,"  9,278 "
13,Dade,5441,SYLVANIA HEIGHTS ELEMENTARY SCHOOL                                                                  ,"  9,082 ",  728 ,"  9,810 ",  349 ,  70 ,  419 ,"  10,229 "
13,Dade,5481,TREASURE ISLAND ELEMENTARY SCHOOL                                                                   ,"  8,210 ","  1,006 ","  9,216 ",  322 ,  64 ,  386 ,"  9,602 "
13,Dade,5521,TROPICAL ELEMENTARY SCHOOL                                                                          ,"  13,331 ","  2,120 ","  15,451 ",  457 ,  76 ,  533 ,"  15,984 "
13,Dade,5561,FRANCES S. TUCKER ELEMENTARY SCHOOL                                                                 ,"  10,420 ",  946 ,"  11,366 ",  377 ,  74 ,  451 ,"  11,817 "
13,Dade,5601,TWIN LAKES ELEMENTARY SCHOOL                                                                        ,"  8,362 ",  710 ,"  9,072 ",  322 ,  62 ,  384 ,"  9,456 "
13,Dade,5641,VILLAGE GREEN ELEMENTARY SCHOOL                                                                     ,"  10,256 ",  685 ,"  10,941 ",  366 ,  65 ,  431 ,"  11,372 "
13,Dade,5711,MAE M. WALTERS ELEMENTARY SCHOOL                                                                    ,"  7,924 ",  748 ,"  8,672 ",  308 ,  58 ,  366 ,"  9,038 "
13,Dade,5931,PHYLLIS WHEATLEY ELEMENTARY SCHOOL                                                                  ,"  8,652 ","  1,842 ","  10,494 ",  304 ,  65 ,  369 ,"  10,863 "
13,Dade,5951,WHISPERING PINES ELEMENTARY SCHOOL                                                                  ,"  8,021 ",  431 ,"  8,452 ",  305 ,  57 ,  362 ,"  8,814 "
13,Dade,5971,NATHAN B. YOUNG ELEMENTARY SCHOOL                                                                   ,"  8,181 ","  1,486 ","  9,667 ",  292 ,  63 ,  355 ,"  10,022 "
